Linea;Origen;Destino;Solucion 1
Barcelona - Valles;PLAÇA CATALUNYA;GRÀCIA;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies L6,S1,S2,S5,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L6,S1,S2,S5 o S55(2 parades). Baixi a GRÀCIA. 
 Per sortir per GALA PLACÍDIA / MARIÀ CUBÍ: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per GALA PLACÍDIA / MARIÀ CUBÍ, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;MUNTANER;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies L6,S1,S2,S5,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L6,S5 o S55(4 parades) o S1 o S2(3 parades). Baixi a MUNTANER(L'andana central no està adaptada, només utilitzar l'andana lateral). 
 Per sortir per VIA AUGUSTA - SANTALÓ: Dirigeixis cap a VESTÍBUL SANTALÓ seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per VIA AUGUSTA - SANTALÓ, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;SARRIÀ;Sense solució
Barcelona - Valles;PLAÇA CATALUNYA;PEU DEL FUNICULAR;Sense solució
Barcelona - Valles;PLAÇA CATALUNYA;VALLDOREIX;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S1,S2,S5,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1,S2,S5 o S55(9 parades). Baixi a VALLDOREIX. 
 Per sortir per PLAÇA DE L'ESTACIÓ: Dirigeixis cap a VESTÍBUL PLAÇA DE L'ESTACIÓ (COSTAT VIA 2) seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per PLAÇA DE L'ESTACIÓ, passant per la validadora.
 Per sortir per AVINGUDA VILLADELPRAT: Dirigeixis cap a VESTÍBUL VILLADELPRAT (COSTAT VIA 1) seguint indicador sortida. Surti de l'estació per AVINGUDA VILLADELPRAT, mitjançant rampa, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;MIRA-SOL;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S1,S5. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S5(11 parades). Baixi a MIRA-SOL. 
 Per sortir per PLAÇA BAIXADOR: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PLAÇA BAIXADOR, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;HOSPITAL GENERAL;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S1,S5. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S5(12 parades). Baixi a HOSPITAL GENERAL. 
 Per sortir per HOSPITAL GENERAL: Vagi de l'andana de la via 1 fins l'andana de la via 2, fent servir l'ascensor i travessant la passera o passadís. Dirigeixis cap a VESTÍBUL HOSPITAL GENERAL seguint indicador sortida. Surti de l'estació per HOSPITAL GENERAL, passant per la validadora.
 Per sortir per CAMÍ DE CAN ATMETLLER - CENTRE COMERCIAL: Dirigeixis cap a VESTÍBUL CAMÍ DE CAN ATMETLLER - CENTRE COMERCIAL seguint indicador sortida. Surti de l'estació per CAMÍ DE CAN ATMETLLER - CENTRE COMERCIAL, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;VALLPARADÍS;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi de la línia S1. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S1(16 parades). Baixi a VALLPARADÍS. 
 Per sortir per VALLPARADÍS: Dirigeixis cap a VESTÍBUL VALLPARADÍS seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per VALLPARADÍS, passant per la validadora.
 Per sortir per PLAÇA DRETS HUMANS: Dirigeixis cap a VESTÍBUL DRETS HUMANS seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PLAÇA DRETS HUMANS, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;SANT JOAN;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S2,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S2 o S55(12 parades). Baixi a SANT JOAN. 
 Per sortir per ACCÉS COSTAT VIA 1: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per ACCÉS COSTAT VIA 1, mitjançant rampa, passant per la validadora.
 Per sortir per ACCÉS COSTAT VIA 2: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per ACCÉS COSTAT VIA 2, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;UNIVERSITAT AUTÒNOMA;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S2,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S2 o S55(14 parades). Baixi a UNIVERSITAT AUTÒNOMA. 
 Per sortir per CAMPUS SUD - PLAÇA CÍVICA: Dirigeixis cap a VESTÍBUL INFERIOR VIA 1 seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CAMPUS SUD - PLAÇA CÍVICA, mitjançant rampa, passant per la validadora.
 Per sortir per CAMPUS NORD - CIÈNCIES DE L'EDUCACIÓ: Dirigeixis cap a VESTÍBUL INFERIOR VIA 1 seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CAMPUS NORD - CIÈNCIES DE L'EDUCACIÓ, travessant la passera o passadís, passant per la validadora.
 Per sortir per RECTORAT: Dirigeixis cap a VESTÍBUL INFERIOR VIA 1 seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per RECTORAT, mitjançant rampa i travessant la passera o passadís, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;SANT QUIRZE;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi de la línia S2. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S2(15 parades). Baixi a SANT QUIRZE. 
 Per sortir per PASSEIG DE LA BÒBILA: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida, mitjançant rampa. Surti de l'estació per PASSEIG DE LA BÒBILA, mitjançant rampa, passant per la validadora.
 Per sortir per PASSEIG DE LA BÒBILA: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida, mitjançant rampa. Surti de l'estació per PASSEIG DE LA BÒBILA, mitjançant rampa, passant per la validadora. Surti de l'estació per PLAÇA DE L'ESTACIÓ, mitjançant rampa i travessant la passera o passadís."
Barcelona - Valles;PROVENÇA;GRÀCIA;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L6,S1,S2,S5 o S55(1 parada). Baixi a GRÀCIA. 
 Per sortir per GALA PLACÍDIA / MARIÀ CUBÍ: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per GALA PLACÍDIA / MARIÀ CUBÍ, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PROVENÇA;PLAÇA MOLINA;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament del primer cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia L7(2 parades). Baixi a PLAÇA MOLINA. 
 Per sortir per PLAÇA MOLINA - BALMES: Dirigeixis cap a VESTÍBUL PLAÇA MOLINA seguint indicador sortida. Surti de l'estació per PLAÇA MOLINA - BALMES, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PROVENÇA;LES TRES TORRES;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L6,S5 o S55(5 parades). Baixi a LES TRES TORRES. 
 Per sortir per CALATRAVA - DOCTOR ROUX: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CALATRAVA - DOCTOR ROUX, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PROVENÇA;SARRIÀ;Sense solució
Barcelona - Valles;PROVENÇA;REINA ELISENDA;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament del primer cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia L6(7 parades). Baixi a REINA ELISENDA(En hora punta aquest itinerari no està adaptat ja que, és obligatori baixar a Sarrià (estació no adaptada) per fer un canvi de comboi). 
 Per sortir per DUQUESA D'ORLEANS: Dirigeixis cap a VESTÍBUL DUQUESA D'ORLEANS seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per DUQUESA D'ORLEANS, passant per la validadora.
 Per sortir per REINA ELISENDA: Dirigeixis cap a VESTÍBUL DUQUESA D'ORLEANS seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per REINA ELISENDA, fent servir l'ascensor, passant per la validadora.
 Per sortir per AVINGUDA JOAN VICENÇ FOIX: Dirigeixis cap a VESTÍBUL VICENÇ FOIX seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per AVINGUDA JOAN VICENÇ FOIX, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;EL PUTXET;Sense solució
Barcelona - Valles;PROVENÇA;LES PLANES;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament del primer cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S2(6 parades). Baixi a LES PLANES. 
 Per sortir per CARRETERA DE VALLVIDRERA: Dirigeixis cap a PASSERA  seguint indicador sortida, fent servir l'ascensor, passant per la validadora. Surti de l'estació per CARRETERA DE VALLVIDRERA, fent servir l'ascensor.
 Per sortir per PLAÇA MAJOR DEL RECTORET: Dirigeixis cap a PASSERA  seguint indicador sortida, fent servir l'ascensor, passant per la validadora. Surti de l'estació per PLAÇA MAJOR DEL RECTORET, mitjançant rampa."
Barcelona - Valles;PLAÇA CATALUNYA;AVINGUDA TIBIDABO;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi de la línia L7. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia L7(6 parades). Baixi a AVINGUDA TIBIDABO. 
 Per sortir per PLAÇA KENNEDY: Dirigeixis cap a VESTÍBUL SUPERIOR O -1 seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PLAÇA KENNEDY, fent servir l'ascensor, passant per la validadora."
