Linea;De codigo de parada;A codigo de parada;km;FGC_Emisiones de CO2   gramos;FGC_Emisiones de NOx en gramos;FGC_Emisiones de PM10 en gramos;FGC_Consumo de energia en kWh;FGC_Coste del viaje en euros;Coche_Emisiones de CO2 emitidas en  en gramos;Coche_Emisiones de NOx en gramos;Coche_Emisiones de PM10 en gramos;Coche_Consumo de energia en kWh;Coche_Coste del viaje en euros;Ahorro_ Emisiones de C02 en gramos;Ahorro_Emisiones de NOx en gramos;Ahorro_Emisiones de PM10 en gramos;Ahorro_Consumo de energia en kWh;Ahorro_Coste del viaje en euros;Ahorro_ area de ocupacion por los  usuarios (en valor absoluto);Numero de accidentes de vehiculos evitados (en valor absoluto)
Llobregat - Anoia;PE;BO;10.516;0.0;0.08;0.063;2.85;1.11;2955.85;8.792;3.856;11.252;2.43;2955.85;8.712;3.793;8.402;1.32;151.0;18.0
Llobregat - Anoia;MG;MQ;40.677;0.0;0.311;0.242;11.023;4.31;11433.54;34.007;14.915;43.524;9.39;11433.54;33.696;14.673;32.501;5.08;151.0;18.0
Llobregat - Anoia;MG;IG;64.297;0.0;0.491;0.383;17.424;6.82;18072.67;53.755;23.576;68.798;14.85;18072.67;53.264;23.193;51.374;8.03;151.0;18.0
Llobregat - Anoia;IC;EU;0.696;0.0;0.005;0.004;0.189;0.07;195.63;0.582;0.255;0.745;0.16;195.63;0.577;0.251;0.556;0.09;151.0;18.0
Llobregat - Anoia;IC;CB;48.881;0.0;0.374;0.291;13.247;5.18;13739.52;40.866;17.923;52.303;11.29;13739.52;40.492;17.632;39.056;6.11;151.0;18.0
Llobregat - Anoia;IC;VA;51.018;0.0;0.39;0.304;13.826;5.41;14340.19;42.653;18.707;54.589;11.78;14340.19;42.263;18.403;40.763;6.37;151.0;18.0
Llobregat - Anoia;EU;SA;20.482;0.0;0.157;0.122;5.551;2.17;5757.1;17.124;7.51;21.916;4.73;5757.1;16.967;7.388;16.365;2.56;151.0;18.0
Llobregat - Anoia;EU;ME;27.568;0.0;0.211;0.164;7.471;2.92;7748.84;23.048;10.108;29.498;6.37;7748.84;22.837;9.944;22.027;3.45;151.0;18.0
Llobregat - Anoia;EU;MO;44.439;0.0;0.34;0.264;12.043;4.71;12490.96;37.153;16.294;47.55;10.26;12490.96;36.813;16.03;35.507;5.55;151.0;18.0
Llobregat - Anoia;EU;MA;60.038;0.0;0.459;0.357;16.27;6.36;16875.55;50.194;22.014;64.241;13.86;16875.55;49.735;21.657;47.971;7.5;151.0;18.0
Llobregat - Anoia;EU;BE;36.595;0.0;0.28;0.218;9.917;3.88;10286.16;30.595;13.418;39.157;8.45;10286.16;30.315;13.2;29.24;4.57;151.0;18.0
Llobregat - Anoia;EU;VN;61.384;0.0;0.469;0.365;16.635;6.51;17253.88;51.319;22.507;65.681;14.17;17253.88;50.85;22.142;49.046;7.66;151.0;18.0
Llobregat - Anoia;EU;IG;62.56;0.0;0.478;0.372;16.954;6.63;17584.43;52.302;22.939;66.939;14.45;17584.43;51.824;22.567;49.985;7.82;151.0;18.0
Llobregat - Anoia;GO;CG;9.016;0.0;0.069;0.054;2.443;0.96;2534.23;7.538;3.306;9.647;2.08;2534.23;7.469;3.252;7.204;1.12;151.0;18.0
Llobregat - Anoia;GO;CR;13.525;0.0;0.103;0.08;3.665;1.43;3801.62;11.307;4.959;14.472;3.12;3801.62;11.204;4.879;10.807;1.69;151.0;18.0
Llobregat - Anoia;GO;PL;21.158;0.0;0.162;0.126;5.734;2.24;5947.11;17.689;7.758;22.639;4.89;5947.11;17.527;7.632;16.905;2.65;151.0;18.0
Llobregat - Anoia;GO;AB;31.429;0.0;0.24;0.187;8.517;3.33;8834.1;26.276;11.524;33.629;7.26;8834.1;26.036;11.337;25.112;3.93;151.0;18.0
Llobregat - Anoia;GO;OL;34.195;0.0;0.261;0.203;9.267;3.62;9611.57;28.588;12.538;36.589;7.9;9611.57;28.327;12.335;27.322;4.28;151.0;18.0
Llobregat - Anoia;GO;AE;41.359;0.0;0.316;0.246;11.208;4.38;11625.23;34.578;15.165;44.254;9.55;11625.23;34.262;14.919;33.046;5.17;151.0;18.0
Llobregat - Anoia;GO;MB;59.84;0.0;0.457;0.356;16.217;6.34;16819.89;50.028;21.941;64.029;13.82;16819.89;49.571;21.585;47.812;7.48;151.0;18.0
